'RK’,'depth’
3.7016,-18.8010833
4.2614285714,-19.2575571429
4.72375,-19.6895
5.1566666667,-20.0951333333
5.636,-20.49131
6.796,-21.33346
7.659,-22.94593
8.521,-23.44765
9.581,-23.92252
10.939,-23.8958
12.297,-24.0124
13.688,-24.14692
15.046,-24.40684
16.437,-24.7653
17.928,-25.39251
19.352,-25.59869
20.91,-26.70962
22.434,-27.31891
23.895,-29.7466
25.158,-33.05212
26.455,-37.16383
27.682,-37.98807
28.94,-38.13153
30.298,-38.06002
31.654,-37.5675
32.913,-37.63931
34.368,-36.18833
35.991,-36.9947
37.578,-35.44521
39.232,-34.49588
41.018,-32.78517
42.84,-33.64531
44.794,-33.89635
46.914,-34.85506
49.002,-36.10936
51.386,-36.03796
53.705,-36.33382
55.988,-34.90981
58.175,-36.29849
60.292,-34.71323
62.245,-34.80302
64.197,-33.49542
66.249,-32.87757
68.069,-31.91034
69.889,-31.0954
71.412,-31.12245
72.934,-30.96138
74.558,-31.6513
76.444,-30.7647
78.199,-30.81864
80.184,-29.04525
82.138,-29.40378
83.899,-33.33639
85.688,-33.91884
87.609,-34.02655
89.728,-34.14323
91.715,-33.77619
93.601,-33.19416
95.289,-32.28963
97.011,-32.29878
98.6,-32.31687
100.09,-32.3887
101.643,-30.09571
103.232,-29.97944
104.589,-29.48692
105.98,-29.71102
107.57,-30.40094
109.093,-30.4459
110.649,-30.75063
112.24,-31.51221
113.93,-32.41713
115.719,-32.71293
117.504,-30.9843
119.392,-30.92181
121.281,-32.19401
123.069,-32.04193
124.955,-30.97618
126.779,-32.40065
128.534,-32.22169
130.222,-31.64859
131.614,-32.58034
133.269,-32.25805
134.826,-32.67924
136.348,-31.87322
138.035,-30.69099
139.625,-30.88824
140.853,-32.91281
142.178,-33.45041
143.507,-36.11994
145.097,-36.84568
146.849,-34.90206
148.306,-35.17095
150.094,-35.17115
151.784,-36.2373
153.212,-38.54854
154.67,-38.91596
156.26,-39.22965
157.98,-38.21763
159.73,-35.14535
161.351,-34.04374
162.907,-33.61395
164.463,-33.14833
165.822,-33.90092
167.114,-34.56393
168.799,-32.62031
170.421,-32.64737
172.04,-30.56938
173.363,-29.28859
174.787,-29.10064
176.112,-29.27099
177.37,-29.43237
178.793,-29.21754
180.083,-27.85612
181.408,-27.83835
182.401,-27.44432
183.395,-27.56088
184.522,-28.26866
185.814,-28.82418
187.207,-30.68753
188.598,-31.27889
190.123,-31.88818
191.514,-31.70919
193.103,-31.98706
194.79,-31.0467
196.413,-31.1275
198.433,-31.19939
200.22,-30.42923
201.876,-30.72501
203.429,-28.64701
205.149,-27.51854
206.97,-27.95767
208.692,-27.97577
210.548,-28.84487
212.337,-29.31087
214.257,-29.329
216.142,-28.20054
218,-30.28788
220.02,-30.00146
222.107,-30.49436
224.16,-30.28856
226.112,-29.17803
228.099,-29.6351
229.757,-31.10434
231.577,-30.61187
233.762,-30.08362
235.681,-29.13433
237.763,-26.33082
239.686,-27.99716
241.837,-27.2897
243.925,-28.29324
245.98,-29.13549
248.101,-29.9867
250.318,-29.35095
252.538,-29.7095
254.329,-31.67142
256.052,-32.37926
257.576,-33.1677
259.097,-31.77048
260.456,-32.16477
261.913,-32.58595
263.504,-33.67
265.226,-33.63436
266.947,-32.98065
268.436,-32.3717
270.088,-29.91749
272.011,-31.21657
273.902,-33.41141
275.988,-33.8237
278.009,-34.79135
279.896,-34.05703
281.944,-31.08332
283.994,-29.48013
286.113,-29.08623
288.365,-29.25668
290.65,-29.41817
292.865,-27.23275
295.278,-24.75175
297.465,-25.76421
299.817,-26.45422
302.102,-26.58884
304.256,-27.80732
306.176,-27.59256
308.161,-26.57161
310.147,-26.12395
311.969,-26.91243
313.562,-28.93704
315.218,-29.17908
317.135,-26.52782
318.954,-25.17541
320.975,-26.46554
322.929,-26.75241
325.049,-27.32593
326.969,-27.13803
328.657,-26.762
330.477,-25.50813
332.428,-24.27219
334.149,-23.68118
335.672,-23.4395
336.963,-23.40382
338.021,-22.26631
338.849,-22.06037
339.513,-22.75914
340.145,-24.41638
341.04,-25.49139
342.068,-26.71871
342.963,-26.87109
343.89,-26.4681
344.983,-27.11317
345.98,-28.95856
347.304,-28.20627
348.758,-26.379073
350.345,-25.044563
352.362,-23.011403
354.579,-21.408233
356.63,-20.405203
358.715,-19.885893
360.967,-20.351943
363.153,-20.289483
365.371,-19.940383
367.523,-19.863
369.643,-20.02148
371.597,-19.91421
373.319,-20.13834
374.611,-20.67595
375.804,-20.92
376.997,-21.38387
377.994,-24.11607
379.12,-24.18786
380.308,-21.77838
381.699,-21.72479
383.289,-22.39679
384.976,-21.554957
386.601,-23.176477
388.256,-22.988547
390.11,-23.176867
391.963,-22.523167
393.846,-19.074677
395.599,-17.650606
397.421,-18.170356
398.778,-17.830116
399.839,-19.039516
400.835,-20.490769
401.86,-19.469709
403.052,-19.514629
403.98,-19.873039
405.006,-19.792529
406.032,-19.712029
406.992,-19.77484
408.05,-18.8344
409.111,-19.7482
410.235,-18.53009
411.394,-18.50335
412.419,-17.84956
413.214,-18.05568
414.174,-18.00204
415.266,-17.47366
416.292,-17.043804
417.22,-17.930714
417.883,-18.181604
419.006,-16.748504
420.097,-15.682663
421.121,-14.348083
422.25,-15.924753
423.408,-15.405333
424.698,-14.527633
425.725,-14.581493
426.95,-14.501012
428.373,-13.372509
429.895,-12.906882
431.023,-14.080462
432.249,-14.510563
433.508,-14.895883
434.863,-13.659883
436.323,-15.200763
437.549,-15.317353
439.238,-15.675853
440.861,-16.15975
442.748,-16.0883
444.802,-16.240807
446.853,-15.058627
449.072,-15.426147
451.555,-15.148737
453.971,-13.885975
456.683,-11.879765
459.462,-10.634958
461.814,-11.056228
464.329,-10.106996
466.68,-9.901233
468.798,-9.578998
470.95,-9.283638
472.805,-9.642148
474.362,-10.143948
475.721,-11.00404
476.65,-12.10594
477.448,-14.211077
478.242,-13.557257
479.073,-15.492199
479.636,-16.011806
480.167,-16.495581
480.829,-16.047772
481.556,-14.587755
482.482,-13.978745
483.673,-13.737015
484.864,-12.939915
486.121,-12.089075
487.479,-12.599815
488.571,-12.358085
489.697,-12.304465
490.856,-12.259805
491.915,-12.233051
493.14,-12.403384
494.398,-12.224369
495.392,-12.726109
496.385,-12.708309
497.279,-12.350109
498.074,-12.601009
499.002,-13.156489
499.865,-14.571898
500.728,-16.220198
501.593,-18.728441
502.423,-20.520065
503.087,-21.66672
503.75,-21.61305
504.445,-21.4698
505.439,-21.82822
506.565,-22.12395
507.492,-21.44327
508.649,-20.16245
509.97,-17.869442
511.159,-16.167622
512.152,-15.442162
513.409,-14.779432
514.7,-14.806452
515.991,-14.502038
516.985,-15.272508
517.813,-15.120318
518.641,-15.245818
519.24,-17.091168
519.641,-19.151476
520.4364,-19.411336
521.2315,-19.859306
521.6971,-20.898446
522.1292,-21.955496
522.6935,-22.86924
523.2878,-21.6421
523.9157,-20.90765
524.5759,-19.877594
525.2677,-17.629296
525.9925,-15.452665
526.5217,-15.040665
527.216,-14.351005
528.3403,-13.347875
529.496,-11.180251
530.4882,-10.411
531.6789,-9.451669
533.0354,-8.744163
534.36,-8.815973
535.818,-9.470041
537.4421,-10.563052
538.8671,-11.360442
540.2267,-12.659452
541.4197,-13.277662
542.7445,-13.519667
544.1014,-13.027151
545.2288,-14.093233
546.1573,-14.953269
547.5481,-14.962385
548.8718,-14.469866
550.2606,-13.198039
551.8139,-11.1827456
553.3335,-8.8360136
554.6229,-7.5552166
555.8145,-7.2418326
557.1076,-8.3616886
558.4316,-8.0035356
559.8884,-7.9141256
560.9152,-8.1560956
561.8772,-9.2848646
562.8042,-9.1595616
563.5667,-9.786683
564.3293,-10.413805
565.1229,-9.634578
566.1826,-9.706358
567.2077,-8.81966
568.3668,-8.989983
569.4592,-8.793033
570.7179,-9.079813
572.1083,-8.891863
573.303,-10.656653
574.7603,-10.898673
576.1514,-11.131723
577.7086,-11.776849
578.9996,-11.508264
580.4561,-11.150121
581.7469,-10.729258
583.0037,-9.770933
584.0954,-9.090278
585.2202,-8.355875
586.3451,-7.702095
587.3068,-8.642757
588.4322,-8.383115
589.3925,-8.410095
590.386,-8.454994
591.3127,-8.204284
592.6361,-7.4699044
594.2925,-7.9358884
595.9468,-7.0671812
597.403,-6.6194612
599.1586,-7.0406612
601.0128,-6.9692112
602.8008,-6.9425382
604.5552,-6.5665132
606.2455,-7.6147522
608.1673,-8.4480332
609.7247,-9.1737778
610.9816,-8.3139832
612.2735,-8.6545184
613.8293,-8.3053444
615.1186,-6.9708034
616.3092,-5.9945474
617.4019,-5.9767544
618.5282,-6.2814404
619.9169,-4.9200284
620.876,-4.1229004
621.8029,-3.9796814
622.9956,-4.391867
624.1556,-5.045906
625.1165,-5.449108
626.0452,-6.443509
626.9407,-7.455825
628.0352,-8.656273
629.1938,-8.432462
630.0556,-9.005848
630.9177,-9.794216
631.9104,-9.3374869
633.0029,-9.2032449
634.1609,-8.6300849
635.5516,-8.6033679
637.3057,-8.0481919
639.1926,-7.6632219
640.9461,-6.6691219
642.701,-6.5886989
