'location','RK','lt5k','f5k_10k','f10k_15k','f15k_20k','f20k_25k','f25k_30k','f30k_35k','gt35k'
'HOP',0.966,0.041,0.531,0.508,0.662,0.8,0.848,0.999,1.26
'Venice',17.227,0.06,0.537,0.672,0.809,0.981,1.145,1.217,1.298
'Empire',47.495,0.083,0.495,0.751,1.071,1.335,1.565,1.718,1.855
'La Hache',78.407,0.113,0.524,0.91,1.37,1.745,2.035,2.255,2.39
'Algeirs',142.163,0.318,0.806,1.504,2.326,3.023,3.563,4.013,4.296
'IHNC',149.247,0.431,0.965,1.723,2.583,3.316,3.842,4.315,4.573
'Harvey Lock',158.263,0.381,0.888,1.701,2.612,3.409,4.03,4.54,4.843
'Carrolton',165.508,0.343,0.897,1.74,2.706,3.547,4.227,4.768,5.077
'Bonnet Carre',208.012,0,1.08,2.39,3.528,4.368,5.122,5.712,6.222
'Reserve',223.307,0.498,1.18,2.478,3.754,4.876,5.854,6.519,6.977
'Baton Rouge',367.724,1.275,2.651,5.19,7.193,8.778,10.226,11.299,12.592
'Red River',486.864,3.659,6.031,9.192,11.408,13.216,14.934,16.12,17.641
'Knox Landing',505.057,4.245,6.706,9.941,12.168,13.954,15.695,16.87,18.44
'Natchez',582.015,7.09,9.898,13.204,15.416,17.324,19.112,20.174,21.51
'Vicksburg',701.477,14.145,17.082,19.971,22.1,23.858,25.699,26.799,28.272
'Greenville',855.393,25.38,28.217,30.915,32.663,34.236,36.017,37.077,38.709
'Arkansas City',892.101,28.931,31.625,34.218,35.949,37.439,39.21,40.194,41.76
'Helena',1067.43,43.612,46.366,48.994,50.751,52.118,53.977,54.98,56.537
